상호명,주소,업종대분류,업종중분류,업종소분류
허술한집,서울특별시 강서구 공항동 45-89,음식,분식,라면김밥분식
신풍유통,서울특별시 중구 봉래동2가 122,제조,식품가공/제조,종합식품제조
옛날한과,서울특별시 양천구 신월동 115-15,음식,제과제빵떡케익,떡/한과집
서울연인단팥빵본점,서울특별시 강남구 역삼동 707-9,제조,식품가공/제조,빵/과자제조-종합
엔젤,서울특별시 중구 황학동 706-2,음식,유흥주점,호프/맥주
하루식품,서울특별시 중구 충무로1가 52-5,소매,음/식료품소매,식료품점
시드니,서울특별시 양천구 신정동 117-36,음식,유흥주점,룸살롱/단란주점
신창농산구내식당,서울특별시 송파구 가락동 600,음식,기타음식업,구내식당/자급식음식점
도쿄다이야키,서울특별시 강남구 대치동 937,음식,제과제빵떡케익,제과점
선일이비즈니스고등학교,서울특별시 은평구 갈현동 240-1,학문/교육,학교,고등학교
GS25대치학원점,서울특별시 강남구 대치동 988-17,소매,종합소매점,편의점
GS25,서울특별시 강남구 신사동 659-9,소매,종합소매점,편의점
우리에프엔지,서울특별시 구로구 구로동 188-26,제조,식품가공/제조,종합식품제조
NC백화점,서울특별시 서초구 잠원동 70-2,소매,종합소매점,백화점
동화푸드,서울특별시 중구 소공동 1,제조,식품가공/제조,종합식품제조
한비건강식품,서울특별시 관악구 신림동 607-73,소매,건강/미용식품,건강식품판매
강원전통식품,서울특별시 서초구 양재동 232,소매,음/식료품소매,식료품점
풋젠,서울특별시 강동구 성내동 169-6,소매,가방/신발/액세서리,신발소매
돈돈,서울특별시 용산구 한강로3가 40-999,소매,사무/문구/컴퓨터,컴퓨터/주변기기
황제,서울특별시 서대문구 창천동 30-33,제조,식품가공/제조,종합식품제조
베이크드아를르,서울특별시 영등포구 영등포동4가 434-5,,,
희원비지니스,서울특별시 관악구 신림동 1425-29,음식,유흥주점,기타일반유흥주점
GS25,서울특별시 은평구 대조동 187-7,소매,종합소매점,편의점
CU,서울특별시 강남구 논현동 105-4,소매,종합소매점,편의점
경기반찬,서울특별시 송파구 신천동 7,제조,식품가공/제조,종합식품제조
송정,서울특별시 강동구 성내동 130-18,제조,식품가공/제조,종합식품제조
고메홈,서울특별시 중구 충무로1가 52-5,음식,한식,곱창/양구이전문
롯데리아홈플러스강서점,서울특별시 강서구 등촌동 639-11,음식,패스트푸드,패스트푸드
CU,서울특별시 성동구 성수동1가 656-997,소매,종합소매점,편의점
싱싱포차,서울특별시 구로구 오류동 36-1,음식,한식,한식/백반/한정식
용보제약,서울특별시 동대문구 제기동 892-29,제조,제약업,제약업-종합
삼환씨푸드,서울특별시 양천구 목동 916,소매,음/식료품소매,반찬가게
예미찬방,서울특별시 강남구 삼성동 159-7,제조,식품가공/제조,종합식품제조
소피아코리아,서울특별시 구로구 고척동 161-13,,,
경성자동차,서울특별시 노원구 공릉동 494-5,교통/운송,택시운송,택시회사
위드미발산역,서울특별시 강서구 등촌동 674-9,소매,종합소매점,종합소매
연세고운가정의학과의원,서울특별시 서대문구 냉천동 261-2,의료,병원,일반병원
행복한베이커리&카페,서울특별시 서초구 서초동 391,음식,제과제빵떡케익,제과점
비어드파파,서울특별시 서초구 잠원동 70-2,음식,제과제빵떡케익,제과점
GS25,서울특별시 서대문구 북가좌동 306-17,소매,종합소매점,수퍼마켓
국립현충원,서울특별시 동작구 동작동 산41-2,생활서비스,장례/묘지,묘지관리-종합
파인생활건강,서울특별시 관악구 봉천동 735-11,,,
CU,서울특별시 서초구 서초동 1659-1,소매,종합소매점,편의점
도쿄타이야끼,서울특별시 강남구 삼성동 159-7,제조,식품가공/제조,종합식품제조
신세계푸드,서울특별시 광진구 자양동 227-7,소매,음/식료품소매,반찬가게
V=B프로그램,서울특별시 강남구 삼성동 159-7,소매,건강/미용식품,다이어트상품판매
유에스세탁소,서울특별시 양천구 목동 912,생활서비스,세탁/가사서비스,세탁소/빨래방
김민지,서울특별시 서대문구 홍은동 48-201,생활서비스,이/미용/건강,여성미용실
헤어코디,서울특별시 마포구 도화동 536,생활서비스,이/미용/건강,여성미용실
에스메디센터,서울특별시 성북구 하월곡동 79-19,,,
카페숨,서울특별시 동작구 상도동 463-11,음식,커피점/카페,커피전문점/카페/다방
피부수선,서울특별시 성동구 성수동1가 706,생활서비스,이/미용/건강,비만/피부관리
파스쿠찌,서울특별시 서대문구 신촌동 134,음식,커피점/카페,커피전문점/카페/다방
GS25,서울특별시 관악구 봉천동 649-54,소매,종합소매점,편의점
찰리네맥주집,서울특별시 도봉구 쌍문동 248-2,음식,유흥주점,호프/맥주
이마트에브리데이남부터미널점,서울특별시 서초구 서초동 1443-17,소매,종합소매점,수퍼마켓
더서이,서울특별시 서대문구 북가좌동 481,생활서비스,이/미용/건강,여성미용실
초록마을,서울특별시 송파구 장지동 841-4,소매,음/식료품소매,유기농식품판매
위니비니,서울특별시 송파구 신천동 29,제조,식품가공/제조,종합식품제조
동인하이라이프,서울특별시 마포구 노고산동 49-31,생활서비스,운송/배달/택배,퀵배달
명동김치,서울특별시 강북구 번동 454-90,소매,음/식료품소매,식료품점
한아신약개발,서울특별시 광진구 구의동 252-14,도매/유통/무역,화장품/비누/세정제도매,화장품/비누/세정제도매-종합
커피노키오,서울특별시 강동구 암사동 493-7,음식,커피점/카페,커피전문점/카페/다방
태광바이오,서울특별시 영등포구 양평동4가 80,,,
부산아지매국밥,서울특별시 강남구 논현동 232-17,음식,한식,한식/백반/한정식
리버파크뷔페,서울특별시 광진구 광장동 22-1,음식,부페,종합부페
스위트문,서울특별시 강서구 가양동 449-19,제조,식품가공/제조,종합식품제조
홈플러스,서울특별시 강서구 등촌동 639-11,음식,분식,라면김밥분식
참다한홍삼,서울특별시 양천구 목동 907-7,소매,건강/미용식품,인삼제품판매
동아수산,서울특별시 강남구 도곡동 467-17,제조,식품가공/제조,종합식품제조
교동씨엠,서울특별시 강남구 삼성동 159-7,제조,식품가공/제조,종합식품제조
지에스25상암아이티타워,서울특별시 마포구 상암동 1590,소매,종합소매점,편의점
롯데쇼핑,서울특별시 노원구 중계동 361,음식,한식,갈비/삼겹살
비보,서울특별시 마포구 서교동 331-9,음식,양식,정통양식/경양식
CU,서울특별시 종로구 신문로2가 89-29,소매,종합소매점,편의점
치킨마루,서울특별시 강서구 마곡동 743,음식,유흥주점,호프/맥주
그라찌에,서울특별시 영등포구 양평동5가 20-3,음식,커피점/카페,커피전문점/카페/다방
순천당한의원,서울특별시 동대문구 제기동 889-26,의료,병원,한의원
얌얌,서울특별시 강남구 도곡동 919-7,음식,분식,라면김밥분식
티엔유스킨,서울특별시 동작구 흑석동 182-5,생활서비스,이/미용/건강,비만/피부관리
뽕뜨락카페,서울특별시 강동구 암사동 512-22,음식,커피점/카페,커피전문점/카페/다방
미광,서울특별시 서초구 양재동 223,도매/유통/무역,무역업,농축산물무역
7272떡볶이,서울특별시 광진구 화양동 94-60,음식,한식,한식/백반/한정식
강과장,서울특별시 금천구 가산동 371-28,생활서비스,이/미용/건강,비만/피부관리
조은날,서울특별시 중랑구 묵동 294-54,음식,유흥주점,호프/맥주
비지에프리테일덕성여대학생회관점,서울특별시 도봉구 쌍문동 419,소매,종합소매점,편의점
죽이야기,서울특별시 종로구 평창동 158-1,음식,한식,한식/백반/한정식
케이프라이드,서울특별시 마포구 성산동 515,제조,식품가공/제조,종합식품제조
삼성제약헬스케어,서울특별시 강남구 역삼동 747-19,제조,제약업,제약업-기타
수상한막창,서울특별시 동대문구 답십리동 260-1,제조,식품가공/제조,종합식품제조
배고프면요기,서울특별시 금천구 독산동 378-237,음식,분식,라면김밥분식
두영에프앤디,서울특별시 서초구 반포동 19-3,제조,식품가공/제조,종합식품제조
스무디킹,서울특별시 도봉구 방학동 717-6,음식,커피점/카페,커피전문점/카페/다방
명암산채,서울특별시 노원구 월계동 333-1,제조,식품가공/제조,종합식품제조
대양수산,서울특별시 송파구 가락동 600,도매/유통/무역,수산물도매,수산물도매-종합
삼해푸드,서울특별시 성북구 길음동 20-1,소매,음/식료품소매,반찬가게
롯데슈퍼,서울특별시 노원구 중계동 515-2,소매,종합소매점,수퍼마켓
수네일,서울특별시 관악구 신림동 1421-9,생활서비스,이/미용/건강,발/네일케어
마고,서울특별시 강서구 내발산동 720-11,음식,제과제빵떡케익,제과점
홈플러스,서울특별시 관악구 남현동 612-51,제조,식품가공/제조,종합식품제조
세븐일레븐,서울특별시 구로구 고척동 339-1,소매,종합소매점,편의점
미녀의탄생,서울특별시 동대문구 장안동 336,생활서비스,이/미용/건강,비만/피부관리
동해식품,서울특별시 송파구 문정동 150-2,제조,식품가공/제조,종합식품제조
동해의료기,서울특별시 영등포구 대림동 706-4,소매,의약/의료품소매,의료용품소매
롯데리아면목중앙점,서울특별시 중랑구 면목동 126-39,음식,패스트푸드,패스트푸드
피부카페,서울특별시 동작구 흑석동 55-7,생활서비스,이/미용/건강,비만/피부관리
상상마트,서울특별시 도봉구 방학동 275,소매,종합소매점,수퍼마켓
명암산채,서울특별시 강남구 역삼동 755,제조,식품가공/제조,종합식품제조
동해식품,서울특별시 동대문구 전농동 591-53,제조,식품가공/제조,종합식품제조
